Iteration	Posterior	Likelihood	Prior	br_lengths[1]	br_lengths[2]	br_lengths[3]	br_lengths[4]	br_lengths[5]	br_lengths[6]	br_lengths[7]	br_lengths[8]	br_lengths[9]	br_lengths[10]	br_lengths[11]	br_lengths[12]	br_lengths[13]	br_lengths[14]	br_lengths[15]	matrix_probs[1]	matrix_probs[2]	matrix_probs[3]	matrix_probs[4]	neo_beta	neo_beta_cats[1]	neo_beta_cats[2]	neo_beta_cats[3]	neo_beta_cats[4]	rate_categories[1]	rate_categories[2]	rate_categories[3]	rate_categories[4]	rate_categories[5]	rate_categories[6]	rate_log_sd	rel_br_lengths[1]	rel_br_lengths[2]	rel_br_lengths[3]	rel_br_lengths[4]	rel_br_lengths[5]	rel_br_lengths[6]	rel_br_lengths[7]	rel_br_lengths[8]	rel_br_lengths[9]	rel_br_lengths[10]	rel_br_lengths[11]	rel_br_lengths[12]	rel_br_lengths[13]	rel_br_lengths[14]	rel_br_lengths[15]	tree_length	two_beta	two_beta_cats[1]	two_beta_cats[2]	two_beta_cats[3]	two_beta_cats[4]
0	-413.1456	-423.4886	10.34299	0.112102	0.0268434	0.0170999	0.0446402	0.000203229	0.0165055	0.00416513	0.137286	0.0595527	0.0471608	0.292246	0.143712	0.116908	0.0328675	0.115101	0.083779	0.80123	0.0607429	0.0542479	0.04757489	1.98567e-08	0.0605592	0.939441	1	0.182529	0.436264	0.771984	1.29536	2.29219	5.47859	1.22983	0.0961098	0.023014	0.0146604	0.038272	0.000174237	0.0141509	0.00357094	0.117702	0.0510571	0.040433	0.250555	0.12321	0.100231	0.0281787	0.0986812	1.166394	1.345782	0.161689	0.39428	0.60572	0.83831
36	-416.5943	-426.4043	9.809999	0.758695	0.0500065	0.276129	0.00142387	0.00791946	0.0247195	0.0111974	0.249652	0.17983	0.0214847	0.0802802	0.353714	0.119214	0.00355626	0.0943876	0.290833	0.426763	0.0358733	0.246531	0.06999034	2.94602e-06	0.0858025	0.914197	0.999997	0.368527	0.614562	0.859086	1.16403	1.62717	2.71351	0.7217973	0.339885	0.0224023	0.123702	0.000637873	0.00354781	0.011074	0.0050163	0.111841	0.0805616	0.00962485	0.0359645	0.158459	0.0534061	0.00159316	0.0422844	2.23221	1.31302	0.158631	0.392814	0.607185	0.841369
72	-412.8601	-424.0454	11.1853	0.296373	0.131631	0.0673985	0.0189837	0.0019938	0.0100159	0.0217912	0.0343461	0.0083437	0.111799	0.129877	0.583771	0.179164	0.214752	0.130345	0.405126	0.466381	0.0425543	0.0859389	0.09925592	7.25498e-05	0.116041	0.883959	0.999927	0.396335	0.636757	0.868647	1.15122	1.57046	2.52312	0.6691972	0.152723	0.0678305	0.034731	0.00978245	0.00102742	0.00516126	0.0112292	0.0176988	0.00429958	0.057611	0.0669268	0.300822	0.0923249	0.110664	0.0671677	1.940584	0.7093559	0.0848151	0.347714	0.652286	0.915185
108	-405.4641	-417.8979	12.43374	0.123548	0.059985	0.0481802	0.0254858	0.000634944	0.00277976	0.00577982	0.0403784	0.0070794	0.0229488	0.0194572	0.0346893	0.0582227	0.0108355	0.0332668	0.907389	0.0298527	0.0105726	0.0521861	0.2948085	0.0150981	0.249974	0.750026	0.984902	0.203518	0.460049	0.784876	1.27409	2.17368	4.91357	1.151125	0.250466	0.121607	0.0976749	0.0516669	0.00128721	0.00563537	0.0117173	0.0818584	0.0143519	0.0465236	0.0394453	0.070325	0.118034	0.0219666	0.0674411	0.4932714	0.8029716	0.0988444	0.358242	0.641759	0.901155
144	-410.5365	-418.4309	7.894392	0.0813613	0.0361254	0.0320634	0.005664	0.000754913	0.00488888	0.00890997	0.0328713	0.0034878	0.0189001	0.0195561	0.0384432	0.0699508	0.0194364	0.0338013	0.916427	0.00285204	0.00164212	0.0790793	0.1876992	0.00306335	0.190033	0.809966	0.996937	0.0867374	0.303501	0.689356	1.45063	3.29488	11.529	1.767809	0.200291	0.0889317	0.0789321	0.0139434	0.00185841	0.0120352	0.0219341	0.080921	0.0085861	0.0465274	0.0481423	0.0946376	0.172202	0.0478475	0.0832104	0.4062148	8.105051	0.345659	0.459199	0.540802	0.65434
180	-409.2415	-420.7893	11.5478	0.324546	0.0643973	0.201444	0.0290103	0.0026637	0.00508449	0.00488558	0.049012	0.0441095	0.0458465	0.0329231	0.0838996	0.167014	0.0565991	0.00425052	0.83863	0.00989926	0.00810985	0.143361	0.5061299	0.0509196	0.314843	0.685157	0.94908	0.117424	0.351818	0.721871	1.38529	2.84238	8.51613	1.548786	0.290893	0.0577199	0.180557	0.0260022	0.0023875	0.00455728	0.00437899	0.04393	0.0395358	0.0410927	0.0295093	0.0752	0.149697	0.0507303	0.00380978	1.115686	0.7002182	0.0833884	0.346567	0.653433	0.916612
216	-419.3837	-427.7256	8.341913	0.158404	0.0367193	0.0226562	0.0279182	0.0118498	0.00966303	0.00897381	0.200202	0.115812	0.0639982	0.038452	0.0245078	0.245248	0.0574964	0.0694493	0.806755	0.0229465	0.0402015	0.130097	0.4711589	0.0447531	0.307063	0.692937	0.955247	0.183691	0.437617	0.77273	1.29411	2.2851	5.44391	1.225239	0.145145	0.0336458	0.0207598	0.0255813	0.0108579	0.0088542	0.00822268	0.183444	0.106118	0.0586413	0.0352335	0.0224564	0.22472	0.0526838	0.0636361	1.09135	6.891468	0.333285	0.455659	0.54434	0.666715
252	-409.3967	-420.2828	10.88615	0.252507	0.0923883	0.0662333	0.0760551	0.00157495	0.0112754	0.0064519	0.37211	0.17976	0.159954	0.266342	0.0116664	0.0767115	0.0656032	0.0759021	0.16942	0.552062	0.0952681	0.18325	0.04455343	6.97352e-09	0.0570081	0.942992	1	0.411206	0.6483	0.87353	1.14478	1.5425	2.43187	0.6425624	0.147274	0.0538854	0.0386305	0.044359	0.000918586	0.00657635	0.00376306	0.217033	0.104845	0.0932929	0.155343	0.00680441	0.0447419	0.038263	0.0442698	1.714534	0.1058621	0.000117928	0.122461	0.877539	0.999882
288	-417.1221	-427.7104	10.58823	0.0969647	0.0345838	0.0771009	0.0196426	0.00563726	0.00375694	0.00708989	0.0839117	0.0198971	0.0286765	0.023041	0.0148332	0.00658077	0.0390767	0.0151817	0.913269	0.0377612	0.00428938	0.0446805	0.4551327	0.0419195	0.303203	0.696796	0.958081	0.118118	0.35283	0.722518	1.38405	2.83422	8.46612	1.544528	0.203718	0.0726588	0.161985	0.0412681	0.0118436	0.00789315	0.0148955	0.176294	0.0418029	0.060248	0.0484081	0.0311639	0.0138259	0.0820981	0.0318961	0.4759749	2.367261	0.229645	0.422392	0.577608	0.770355
324	-406.735	-417.0486	10.31354	0.0754126	0.0151739	0.0160459	0.00562254	0.00132326	0.00503007	0.00153402	0.0503638	0.0190069	0.0392354	0.0268969	0.0259465	0.00778922	0.0181688	0.0800964	0.868907	0.0688222	1.97544e-05	0.0622509	0.344909	0.0228961	0.270116	0.729884	0.977104	0.0839434	0.298693	0.68593	1.45787	3.34791	11.9128	1.791484	0.19454	0.0391436	0.0413932	0.0145043	0.00341356	0.0129759	0.00395726	0.129922	0.0490316	0.101215	0.0693852	0.0669335	0.0200936	0.0468696	0.206622	0.3876462	2.501062	0.235887	0.424648	0.575352	0.764114
